iter	Passed	Remaining
0	136	135936
1	136	68361
2	137	45759
3	138	34447
4	138	27657
5	139	23136
6	140	19910
7	141	17489
8	141	15591
9	142	14070
10	142	12822
11	143	11782
12	143	10904
13	144	10156
14	144	9512
15	145	8950
16	146	8447
17	146	7998
18	147	7597
19	147	7234
20	148	6906
21	148	6608
22	149	6345
23	149	6096
24	150	5867
25	151	5657
26	151	5461
27	152	5278
28	152	5108
29	153	4950
30	153	4808
31	154	4674
32	155	4543
33	155	4420
34	156	4303
35	156	4193
36	157	4089
37	157	3990
38	158	3896
39	158	3807
40	159	3722
41	159	3643
42	160	3566
43	160	3492
44	161	3424
45	161	3357
46	162	3295
47	163	3240
48	163	3181
49	164	3124
50	164	3069
51	165	3016
52	165	2965
53	166	2916
54	166	2868
55	167	2823
56	168	2779
57	168	2737
58	169	2696
59	169	2656
60	170	2617
61	170	2580
62	171	2546
63	171	2513
64	172	2479
65	172	2447
66	173	2414
67	173	2380
68	174	2350
69	174	2320
70	175	2292
71	175	2264
72	176	2238
73	176	2212
74	177	2188
75	177	2163
76	178	2139
77	179	2116
78	179	2094
79	180	2073
80	180	2052
81	181	2030
82	181	2010
83	182	1989
84	182	1967
85	183	1947
86	183	1926
87	184	1908
88	184	1889
89	185	1872
90	185	1854
91	186	1837
92	186	1820
93	187	1804
94	187	1788
95	188	1772
96	188	1757
97	189	1743
98	189	1729
99	190	1714
100	191	1700
101	191	1684
102	191	1671
103	192	1657
104	192	1644
105	193	1631
106	193	1618
107	194	1605
108	194	1593
109	195	1581
110	195	1569
111	196	1558
112	197	1546
113	197	1536
114	198	1526
115	198	1514
116	199	1503
117	199	1493
118	200	1481
119	200	1471
120	201	1461
121	201	1451
122	201	1440
123	202	1430
124	203	1421
125	203	1411
126	204	1402
127	204	1392
128	204	1383
129	205	1375
130	206	1368
131	206	1360
132	207	1352
133	207	1343
134	208	1335
135	208	1327
136	209	1319
137	209	1311
138	210	1303
139	210	1295
140	211	1288
141	211	1280
142	212	1273
143	212	1265
144	213	1258
145	214	1252
146	214	1245
147	215	1239
148	215	1232
149	216	1226
150	216	1219
151	217	1213
152	217	1206
153	218	1199
154	218	1193
155	219	1187
156	220	1181
157	220	1175
158	221	1169
159	221	1163
160	222	1157
161	222	1151
162	223	1145
163	223	1140
164	224	1135
165	224	1130
166	225	1124
167	225	1119
168	226	1113
169	227	1108
170	227	1103
171	228	1097
172	228	1092
173	229	1087
174	229	1082
175	230	1077
176	230	1072
177	231	1067
178	231	1062
179	232	1058
180	232	1052
181	233	1048
182	233	1044
183	234	1039
184	234	1034
185	235	1030
186	235	1025
187	236	1020
188	236	1016
189	237	1012
190	237	1007
191	238	1003
192	238	999
193	239	994
194	239	990
195	240	986
196	241	983
197	241	979
198	242	975
199	242	971
200	243	967
201	243	963
202	244	959
203	244	955
204	245	951
205	245	947
206	246	944
207	246	940
208	247	936
209	248	932
210	248	929
211	249	925
212	249	922
213	250	919
214	250	915
215	251	912
216	251	908
217	252	905
218	252	901
219	253	898
220	253	894
221	254	891
222	254	887
223	255	884
224	255	881
225	256	877
226	256	874
227	257	871
228	257	867
229	258	864
230	258	862
231	259	859
232	260	856
233	260	853
234	261	850
235	261	846
236	262	843
237	262	840
238	263	837
239	263	834
240	264	831
241	264	828
242	265	825
243	265	822
244	266	820
245	266	817
246	267	814
247	268	812
248	268	809
249	269	807
250	269	804
251	270	801
252	270	798
253	270	795
254	271	793
255	271	790
256	272	787
257	273	785
258	273	782
259	273	779
260	274	777
261	275	774
262	275	772
263	276	770
264	276	767
265	277	765
266	277	763
267	278	760
268	278	757
269	279	755
270	279	752
271	280	750
272	280	747
273	281	745
274	281	743
275	282	740
276	282	738
277	283	736
278	284	733
279	284	731
280	285	729
281	285	727
282	286	725
283	286	723
284	287	720
285	287	718
286	288	716
287	288	713
288	289	711
289	289	709
290	290	707
291	290	705
292	291	703
293	291	700
294	292	698
295	292	696
296	293	694
297	294	692
298	294	690
299	295	688
300	295	686
301	296	684
302	296	682
303	297	680
304	297	678
305	298	676
306	298	674
307	299	672
308	299	670
309	300	668
310	300	666
311	301	664
312	301	662
313	302	660
314	303	659
315	304	658
316	305	657
317	305	656
318	306	655
319	307	653
320	308	651
321	308	649
322	309	647
323	309	646
324	310	644
325	310	642
326	311	640
327	311	639
328	312	637
329	312	635
330	313	633
331	313	631
332	314	629
333	314	628
334	315	626
335	316	624
336	316	622
337	317	621
338	317	619
339	318	617
340	318	616
341	319	614
342	319	612
343	320	611
344	321	609
345	321	607
346	322	606
347	322	604
348	323	602
349	323	600
350	324	599
351	324	597
352	325	596
353	325	594
354	326	592
355	326	591
356	327	589
357	327	587
358	328	586
359	329	584
360	329	583
361	330	581
362	330	580
363	331	579
364	332	577
365	332	576
366	333	574
367	333	573
368	334	571
369	334	570
370	335	568
371	335	566
372	336	565
373	336	563
374	337	562
375	338	561
376	338	559
377	339	558
378	339	556
379	340	554
380	340	553
381	341	551
382	341	550
383	342	548
384	342	547
385	343	545
386	343	544
387	344	543
388	344	541
389	345	540
390	346	538
391	346	537
392	347	536
393	347	534
394	348	533
395	348	531
396	349	530
397	349	529
398	350	527
399	350	526
400	351	524
401	351	523
402	352	522
403	353	520
404	353	519
405	354	518
406	354	516
407	355	515
408	356	514
409	356	513
410	357	511
411	357	510
412	358	508
413	358	507
414	359	506
415	359	504
416	360	503
417	360	502
418	361	500
419	361	499
420	362	498
421	362	496
422	363	495
423	363	494
424	364	493
425	365	491
426	365	490
427	366	489
428	366	487
429	367	486
430	367	485
431	368	483
432	368	482
433	369	481
434	369	480
435	370	478
436	370	477
437	371	476
438	371	474
439	372	473
440	373	473
441	373	471
442	374	470
443	374	469
