iter	Passed	Remaining
0	0	750
1	1	663
2	1	629
3	2	610
4	3	600
5	4	801
6	5	784
7	6	755
8	6	732
9	7	715
10	7	700
11	8	691
12	8	681
13	9	669
14	10	660
15	10	652
16	11	646
17	11	639
18	12	634
19	14	687
20	14	683
21	15	678
22	15	672
23	16	667
24	16	661
25	17	655
26	18	649
27	18	644
28	19	640
29	19	636
30	20	632
31	20	627
32	21	625
33	23	656
34	23	652
35	24	648
36	24	645
37	25	641
38	25	638
39	26	634
40	26	630
41	27	627
42	28	625
43	28	621
44	29	618
45	29	615
46	30	612
47	32	638
48	32	636
49	33	633
50	33	630
51	34	627
52	35	625
53	35	622
54	36	620
55	36	618
56	37	616
57	37	613
58	38	611
59	38	609
60	39	606
61	41	623
62	41	621
63	42	619
64	42	617
65	43	615
66	44	613
67	44	610
68	45	608
69	45	606
70	46	605
71	46	603
72	47	601
73	48	602
74	50	626
75	51	627
76	52	626
77	52	624
78	53	622
79	54	621
80	54	620
81	55	620
82	55	616
83	56	615
84	56	612
85	57	615
86	59	620
87	59	618
88	60	616
89	60	614
90	61	613
91	62	614
92	63	616
93	63	615
94	64	616
95	65	616
96	67	630
97	68	629
98	69	629
99	69	629
100	70	627
101	71	625
102	71	623
103	72	620
104	72	618
105	73	616
106	73	614
107	74	612
108	76	625
109	77	625
110	77	623
111	78	623
112	79	622
113	79	619
114	80	617
115	80	615
116	81	612
117	81	610
118	82	608
119	82	608
120	84	614
121	85	615
122	86	613
123	86	611
124	87	609
125	87	607
126	88	605
127	88	603
128	89	601
129	89	600
130	90	599
131	91	598
132	91	597
133	92	595
134	94	603
135	94	603
136	95	601
137	96	600
138	96	599
139	97	597
140	97	595
141	98	592
142	98	591
143	99	589
144	99	587
145	100	585
146	100	583
147	101	582
148	103	591
149	104	590
150	104	588
151	105	591
152	106	589
153	107	588
154	107	586
155	108	585
156	108	583
157	109	581
158	109	580
159	110	578
160	111	582
161	112	582
162	113	580
163	113	578
164	114	577
165	114	575
166	115	574
167	115	572
168	116	571
169	116	569
170	117	568
171	117	566
172	118	565
173	118	563
174	119	562
175	120	562
176	121	564
177	122	563
178	122	563
179	123	563
180	124	563
181	124	561
182	125	560
183	126	558
184	126	557
185	127	555
186	128	557
187	128	556
188	129	556
189	130	554
190	130	553
191	131	552
192	131	551
193	132	549
194	132	548
195	133	547
196	133	545
197	134	544
198	136	547
199	136	547
200	137	545
201	137	544
202	138	543
203	138	541
204	139	540
205	139	539
206	140	537
207	140	536
208	141	535
209	141	533
210	142	533
211	143	532
212	145	536
213	146	536
214	146	536
215	147	535
216	148	534
217	148	533
218	149	532
219	149	530
220	150	529
221	150	528
222	151	527
223	151	526
224	152	524
225	154	528
226	154	527
227	155	526
228	156	525
229	156	524
230	157	522
231	157	521
232	158	520
233	158	519
234	159	518
235	159	517
236	160	516
237	160	514
238	161	513
239	163	517
240	163	515
241	164	514
242	164	513
243	165	512
244	165	511
245	166	509
246	166	508
247	167	507
248	167	506
249	168	505
250	168	504
251	169	502
252	169	501
253	170	500
254	171	500
255	172	500
256	172	498
257	173	497
258	173	496
259	174	495
260	174	494
261	175	493
262	175	492
263	176	491
264	176	489
265	177	488
266	177	487
267	178	486
268	180	489
269	180	488
270	181	487
271	181	486
272	182	485
273	182	484
274	183	483
275	183	482
276	184	480
277	184	479
278	185	478
279	186	478
280	187	479
281	188	480
282	189	479
283	189	478
284	190	477
285	190	475
286	191	474
287	191	473
288	192	472
289	192	471
290	193	470
291	193	469
292	194	468
293	194	467
294	196	469
295	197	469
296	197	468
297	198	467
298	198	466
299	199	465
300	199	464
301	200	463
302	200	462
303	201	461
304	202	460
305	202	459
306	203	458
307	203	457
308	204	456
309	204	456
310	205	455
311	205	454
312	206	453
313	207	452
314	207	451
315	208	450
316	208	449
317	209	448
318	209	447
319	210	446
320	210	445
321	211	444
322	211	443
323	212	442
324	213	442
325	213	441
326	214	440
327	214	439
328	215	438
329	215	437
330	216	436
331	216	435
332	217	434
333	217	434
334	218	433
335	218	432
336	219	431
337	219	430
338	221	431
339	222	431
340	222	430
341	223	429
342	223	428
343	224	427
344	224	426
345	225	425
346	225	424
347	226	424
348	226	423
349	227	422
350	227	421
351	228	420
352	228	419
353	230	421
354	231	420
355	231	419
356	232	418
357	232	417
358	233	416
359	233	415
360	234	414
361	234	413
362	235	413
363	235	412
364	236	411
365	236	410
366	237	409
367	239	410
368	239	410
369	240	409
370	241	408
371	241	407
372	242	406
373	242	406
374	243	405
375	243	404
376	244	403
377	244	402
378	245	401
379	245	400
380	246	399
381	246	399
382	249	401
383	249	400
384	250	400
385	251	399
386	251	399
387	252	398
388	253	397
389	253	396
390	254	395
391	254	395
392	255	394
393	257	396
394	258	395
395	258	394
396	259	393
397	259	393
398	260	392
399	260	391
400	261	390
401	261	389
402	262	389
403	263	388
404	263	387
405	264	386
406	266	388
407	267	387
408	267	386
409	268	386
410	268	385
411	269	384
412	270	384
413	270	383
414	271	382
415	271	381
416	272	380
417	272	380
418	273	379
419	275	380
420	276	379
421	276	379
422	277	378
423	278	377
424	278	376
425	279	376
426	279	375
427	280	374
428	280	373
429	281	372
430	282	372
431	286	376
432	287	376
433	288	376
434	289	375
435	290	375
436	291	374
437	292	375
438	294	375
439	294	375
440	295	374
441	296	373
442	296	373
443	297	372
444	298	371
445	298	371
446	299	370
447	300	369
448	302	370
449	302	369
450	303	369
451	303	368
452	304	367
453	305	366
454	305	366
455	306	365
456	306	364
457	307	363
458	308	363
459	308	362
460	311	363
461	311	362
462	312	362
463	313	362
464	314	361
465	314	360
466	315	359
467	316	359
468	316	358
469	317	357
470	317	356
471	320	358
472	321	357
473	321	356
474	322	356
475	322	355
476	323	354
477	324	353
478	324	353
479	325	352
480	325	351
481	327	351
482	330	353
483	330	352
484	331	351
485	331	350
486	332	350
487	332	349
488	333	348
489	334	348
490	335	347
491	335	346
492	337	346
493	338	346
494	339	346
495	339	345
496	340	344
497	341	344
498	341	343
499	342	342
500	343	341
501	343	340
502	344	339
503	344	339
504	345	338
505	346	338
506	347	337
507	348	337
508	348	336
509	349	335
510	349	334
511	350	334
512	351	333
513	351	332
514	352	331
515	352	330
516	353	330
517	355	331
518	356	330
519	357	329
520	357	328
521	358	327
522	358	327
523	359	326
524	359	325
525	360	324
526	360	323
527	361	322
528	361	322
529	362	321
530	364	322
531	365	321
532	365	320
533	366	319
534	367	318
535	367	318
536	368	317
537	368	316
538	369	315
539	369	314
540	370	314
541	370	313
542	371	312
543	373	312
544	373	312
545	374	311
546	374	310
547	375	309
548	375	308
549	376	307
550	376	307
551	377	306
552	377	305
553	378	304
554	378	303
555	379	302
556	379	302
557	380	301
558	382	301
559	383	300
560	383	300
561	384	299
562	384	298
563	385	297
564	385	296
565	386	296
566	386	295
567	387	294
568	387	293
569	388	292
570	388	292
571	389	291
572	391	291
573	391	290
574	392	289
575	392	289
576	393	288
577	393	287
578	394	286
579	394	285
580	395	285
581	395	284
582	396	283
583	396	282
584	397	281
585	397	281
586	398	280
587	400	280
588	400	279
589	401	278
590	401	278
591	402	277
592	402	276
593	403	275
594	403	274
595	404	274
596	405	273
597	405	272
598	406	272
599	407	271
600	411	272
601	411	272
602	412	271
603	413	271
604	413	270
605	414	269
606	414	268
607	415	267
608	416	267
609	417	267
610	418	266
611	418	265
612	419	264
613	420	264
614	421	263
615	421	262
616	422	262
617	422	261
618	423	260
619	423	259
620	424	258
621	424	258
622	425	257
623	427	257
624	428	257
625	429	256
626	429	255
627	430	255
628	431	254
629	431	253
630	432	252
631	432	252
632	433	251
633	434	250
634	435	250
635	435	249
636	436	248
637	436	247
638	437	247
639	437	246
640	438	245
641	438	244
642	439	244
643	440	243
644	440	242
645	441	241
646	441	240
647	442	240
648	443	239
649	443	238
650	444	238
651	444	237
652	445	236
653	445	235
654	446	235
655	446	234
656	447	233
657	447	232
658	448	232
659	448	231
660	449	230
661	449	229
662	451	229
663	451	228
664	452	228
665	453	227
666	453	226
667	454	225
668	454	225
669	455	224
670	455	223
671	456	222
672	456	221
673	457	221
674	457	220
675	460	220
676	460	219
677	461	219
678	462	218
679	462	217
680	463	216
681	463	216
682	464	215
683	464	214
684	465	213
685	465	213
686	466	212
687	466	211
688	468	211
689	469	210
690	469	210
691	470	209
692	470	208
693	471	207
694	471	207
695	472	206
696	472	205
697	473	204
698	474	204
699	475	203
700	475	202
701	477	202
702	478	202
703	478	201
704	479	200
705	480	199
706	480	199
707	481	198
708	482	197
709	482	197
710	483	196
711	483	195
712	484	194
713	485	194
714	486	194
715	487	193
716	487	192
717	488	191
718	488	191
719	489	190
720	489	189
721	490	188
722	490	188
723	491	187
724	491	186
725	492	185
726	492	185
727	493	184
728	496	184
729	496	183
730	497	182
731	497	182
732	498	181
733	498	180
734	499	180
735	499	179
736	500	178
737	500	177
738	501	177
739	502	176
740	503	176
741	505	175
742	506	175
743	507	174
744	508	173
745	509	173
746	510	172
747	512	172
748	513	172
749	514	171
750	515	170
751	516	170
752	517	169
753	518	169
754	518	168
755	519	167
756	519	166
757	522	166
758	522	165
759	523	165
760	524	164
761	524	163
762	525	163
763	525	162
764	526	161
765	526	160
766	527	160
767	527	159
768	528	158
769	528	157
770	531	157
771	532	157
772	532	156
773	533	155
774	533	154
775	534	154
776	534	153
777	535	152
778	535	152
779	536	151
780	536	150
781	537	149
782	539	149
783	540	148
784	541	148
785	541	147
786	542	146
787	542	146
788	543	145
789	543	144
790	544	143
791	545	143
792	545	142
793	546	141
794	546	141
795	549	140
796	549	139
797	550	139
798	550	138
799	551	137
800	551	137
801	552	136
802	553	135
803	553	134
804	554	134
805	554	133
806	555	132
807	555	132
808	557	131
809	558	131
810	559	130
811	559	129
812	560	128
813	561	128
814	561	127
815	562	126
816	562	126
817	563	125
818	563	124
819	564	123
820	564	123
821	567	122
822	568	122
823	568	121
824	569	120
825	569	120
826	570	119
827	571	118
828	571	117
829	572	117
830	572	116
831	573	115
832	575	115
833	575	114
834	576	113
835	576	113
836	577	112
837	577	111
838	578	111
839	578	110
840	579	109
841	580	108
842	580	108
843	581	107
844	582	106
845	583	106
846	584	105
847	585	104
848	586	104
849	586	103
850	587	102
851	588	102
852	588	101
853	589	100
854	589	100
855	590	99
856	590	98
857	591	97
858	593	97
859	593	96
860	594	96
861	595	95
862	595	94
863	596	93
864	596	93
865	597	92
866	598	91
867	598	91
868	599	90
869	599	89
870	600	88
871	602	88
872	603	87
873	604	87
874	604	86
875	605	85
876	606	85
877	606	84
878	607	83
879	607	82
880	608	82
881	608	81
882	611	80
883	611	80
884	612	79
885	612	78
886	613	78
887	613	77
888	614	76
889	615	76
890	615	75
891	616	74
892	617	73
893	617	73
894	618	72
895	620	72
896	620	71
897	621	70
898	622	69
899	622	69
900	623	68
901	624	67
902	624	67
903	625	66
904	625	65
905	626	64
906	626	64
907	629	63
908	629	63
909	630	62
910	631	61
911	632	61
912	633	60
913	633	59
914	634	58
915	635	58
916	635	57
917	637	56
918	638	56
919	639	55
920	639	54
921	640	54
922	640	53
923	641	52
924	642	52
925	643	51
926	644	50
927	645	50
928	645	49
929	646	48
930	646	47
931	647	47
932	647	46
933	648	45
934	649	45
935	649	44
936	650	43
937	652	43
938	653	42
939	653	41
940	654	41
941	654	40
942	655	39
943	656	38
944	656	38
945	657	37
946	657	36
947	658	36
948	658	35
949	659	34
950	661	34
951	662	33
952	663	32
953	663	32
954	664	31
955	664	30
956	665	29
957	665	29
958	666	28
959	666	27
960	667	27
961	667	26
962	668	25
963	671	25
964	671	24
965	672	23
966	673	22
967	673	22
968	674	21
969	674	20
970	675	20
971	675	19
972	676	18
973	677	18
974	678	17
975	679	16
976	680	16
977	680	15
978	681	14
979	681	13
980	682	13
981	682	12
982	683	11
983	683	11
984	684	10
985	685	9
986	686	9
987	688	8
988	689	7
989	689	6
990	690	6
991	691	5
992	692	4
993	692	4
994	693	3
995	693	2
996	694	2
997	694	1
998	696	0
999	697	0
